Scholarship_ID ,Scholarship_Name,Description,Level,Host_Institution,Host_Country,Feild_Of_Study,Fully_Funded?,What_It_Covers,Special_Requirements,Application_Link,Application_Open_Date,Application_Deadline,Source_Website,Last_Verified_Date,Notes,Language_Requirements
NL-007,Maastricht University Holland-High Potential Scholarship,For talented students from outside the EEA to pursue a Master's degree at Maastricht University.,Master,Maastricht University,Netherlands,All Disciplines,Yes,"Tuition fees, living expenses, insurance, visa costs","Age under 35, excellent grades, non-EEA nationality, admission to UM",https://www.maastrichtuniversity.nl/support/your-studies-beginning/finances/scholarships,December,February 1 (annual),https://www.maastrichtuniversity.nl,23-Aug-2025,Very competitive. Requires leadership experience and community engagement.,
NL-008,TU Delft Justus & Louise van Effen Scholarship,For excellent international MSc students with a focus on reducing financial barriers.,Master,Delft University of Technology,Netherlands,All MSc Programs,Yes,Full tuition fees + living expenses,"Outstanding academic achievement, admission to an MSc program at TU Delft",https://www.tudelft.nl/education/practical-matters/scholarships/justus-louise-van-effen,November,December 1 (annual),https://www.tudelft.nl,23-Aug-2025,Highly competitive. Motivation letter required.,
NL-009,University of Twente Scholarship (UTS),For excellent students from non-EU/EEA countries applying for a graduate program.,Master,University of Twente,Netherlands,All Disciplines,Partial,"€3,000 - €22,000 (academic year)","Above-average grades, non-EU/EEA nationality, admission to UT",https://www.utwente.nl/en/education/scholarship-finder/uts/,November,February 1 / May 1 (annual),https://www.utwente.nl,23-Aug-2025,Scholarship value depends on the program.,
NL-010,Radboud University Scholarship Programme,For talented non-EEA students to pursue English-taught Master's degrees.,Master,Radboud University,Netherlands,All Disciplines,Partial,"€11,000 (covers partial tuition) + visa/health insurance","Non-EEA nationality, excellent academic record, admission to Radboud",https://www.ru.nl/scholarships,December,February 28 (annual),https://www.ru.nl,23-Aug-2025,"Scholarship reduces tuition fee to €2,168.",
NL-011,Amsterdam Merit Scholarship,For excellent non-EU students in Master's programs at the University of Amsterdam.,Master,University of Amsterdam,Netherlands,All Disciplines,Partial,"€2,000 - €25,000 (tuition fee contribution)","Non-EU nationality, academic excellence, admission to UvA",https://www.uva.nl/en/education/master-s/scholarships-talents/amsterdam-merit-scholarship/,Varies,January 15 (annual),https://www.uva.nl,23-Aug-2025,"Faculty-specific, check eligibility per program.",
NL-012,VU Amsterdam Fellowship Programme,For talented international students in Master's programs. Covers tuition and provides allowance.,Master,Vrije Universiteit Amsterdam,Netherlands,All Disciplines,Yes,"Full tuition waiver + €5,000 living allowance","Non-Dutch nationality, excellent academic results",https://www.vu.nl/en/programmes/international-masters/scholarships,December,February 1 (annual),https://www.vu.nl,23-Aug-2025,Requires separate application after admission.,
SWE-001,Swedish Institute Scholarships for Global Professionals,Fully-funded scholarships for international students to study in Sweden and become future leaders.,Master,Various Swedish Universities,Sweden,Fields related to sustainability and development,Yes,"Full tuition fees, living expenses, travel grant, insurance","Work experience, leadership experience, citizenship from eligible country",https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,December,February (annual),https://si.se,23-Aug-2025,Focus on students committed to sustainable development.,
SWE-002,Lund University Global Scholarship,Merit-based scholarships for top academic students from outside the EU/EEA.,"Bachelor, Master",Lund University,Sweden,All Disciplines,Partial,"25%, 50%, 75%, or 100% tuition fee reduction","Academic excellence, non-EU/EEA nationality, admission to Lund University",https://www.lunduniversity.lu.se/international-admissions/bachelors-and-masters-studies/scholarships,January,February 1 (annual),https://www.lunduniversity.lu.se,23-Aug-2025,Automatic consideration upon application for studies.,
SWE-003,Uppsala University IPK Scholarships,For fee-paying international students applying to Master's programs at Uppsala University.,Master,Uppsala University,Sweden,All Disciplines,Partial,Tuition fee reduction (amount varies),"Academic talent, non-EU/EEA nationality, admission to Uppsala University",https://www.uu.se/en/study/apply/scholarships/,January,January (annual),https://www.uu.se,23-Aug-2025,Competition is high; based on academic merit and program choice.,
SWE-004,KTH Royal Institute of Technology Scholarships,Tuition fee waivers for master's students based on academic excellence.,Master,KTH Royal Institute of Technology,Sweden,"Engineering, Technology, Architecture",Partial,Full or partial tuition fee waiver,"Academic excellence, admission to a KTH Master's program",https://www.kth.se/en/studies/master/scholarships,January,January 15 (annual),https://www.kth.se,23-Aug-2025,Automatic consideration; no separate application needed for some.,
SWE-005,Chalmers IPOET Scholarships,For fee-paying international students pursuing Master's programs at Chalmers.,Master,Chalmers University of Technology,Sweden,"Engineering, Architecture, Technology",Partial,75% tuition fee reduction,"Academic excellence, non-EU/EEA nationality, admission to Chalmers",https://www.chalmers.se/en/education/fees-scholarships/scholarships/,January,January 15 (annual),https://www.chalmers.se,23-Aug-2025,Funded by the Swedish Council for Higher Education.,
SWE-006,University of Gothenburg Study Scholarships,For fee-paying international students admitted to Master's or Bachelor's programs.,"Bachelor, Master",University of Gothenburg,Sweden,All Disciplines,Partial,Tuition fee waiver (partial or full),"Academic merit, non-EU/EEA nationality, admission to University of Gothenburg",https://www.gu.se/en/study-in-gothenburg/scholarships,January,February 1 (annual),https://www.gu.se,23-Aug-2025,Application required; separate from admission application.,
SWE-007,Linköping University International Scholarships,For outstanding international students applying to Master's programs.,Master,Linköping University,Sweden,All Disciplines,Partial,"25%, 50%, or 75% tuition fee waiver","Academic excellence, non-EU/EEA nationality, admission to LiU",https://liu.se/en/education/master-s/scholarships,January,January 15 (annual),https://liu.se,23-Aug-2025,Automatically considered for scholarship with program application.,
SWE-008,Stockholm University Scholarship Scheme,For high-achieving international students paying tuition fees.,Master,Stockholm University,Sweden,All Disciplines,Partial,Full or partial tuition fee waiver,"Academic excellence, non-EU/EEA nationality, admission to Stockholm University",https://www.su.se/english/education/tuition-fees-scholarships/scholarships,January,January 15 (annual),https://www.su.se,23-Aug-2025,Some programs may have specific scholarship opportunities.,
SWE-009,Mälardalen University Scholarships,For talented students applying to Master's programs at MDU.,Master,Mälardalen University,Sweden,All Disciplines,Partial,Tuition fee reduction (amount varies),"Academic merit, non-EU/EEA nationality, admission to MDU",https://www.mdu.se/en/education/tuition-fees-scholarships,January,January 15 (annual),https://www.mdu.se,23-Aug-2025,Automatic consideration with program application.,
SWE-010,Halmstad University Scholarships,For fee-paying international students in Master's programs.,Master,Halmstad University,Sweden,All Disciplines,Partial,25% or 50% tuition fee waiver,"Academic excellence, non-EU/EEA nationality, admission to Halmstad University",https://www.hh.se/english/education/tuition-fees-scholarships.html,January,January 15 (annual),https://www.hh.se,23-Aug-2025,Scholarships are awarded based on academic merit.,
FIN-001,University of Helsinki Scholarship Programme,For excellent international students from outside the EU/EEA to study Master's programs.,Master,University of Helsinki,Finland,All Disciplines,Yes,"Full tuition fee + 10,000 EUR living cost grant","Academic excellence, non-EU/EEA nationality, admission to University of Helsinki",https://www.helsinki.fi/en/degree-studies/apply-to-masters-programmes/tuition-fees-and-scholarships,December,January (annual),https://www.helsinki.fi,23-Aug-2025,Highly competitive; awarded based on academic merit.,
FIN-002,Aalto University Scholarship Programme,For non-EU/EEA students applying to Master's programmes at Aalto University.,Master,Aalto University,Finland,"Technology, Business, Arts",Partial,Tuition fee waiver (50% or 100%),"Academic excellence, non-EU/EEA nationality, admission to Aalto University",https://www.aalto.fi/en/study-at-aalto/tuition-fees-and-scholarships,December,January (annual),https://www.aalto.fi,23-Aug-2025,Scholarships are awarded based on academic merit.,
FIN-003,Tampere University Scholarships,For international students required to pay tuition fees in Bachelor's and Master's programmes.,"Bachelor, Master",Tampere University,Finland,All Disciplines,Partial,Tuition fee waiver (partial or full),"Academic excellence, non-EU/EEA nationality, admission to Tampere University",https://www.tuni.fi/en/study-at-tuni/tuition-fees-and-scholarships,January,January (annual),https://www.tuni.fi,23-Aug-2025,Early-bird application discounts also available.,
FIN-004,University of Oulu International Scholarships,For non-EU/EEA students studying in Master's programmes.,Master,University of Oulu,Finland,All Disciplines,Partial,Tuition fee waiver (50% or 75%),"Academic excellence, non-EU/EEA nationality, admission to University of Oulu",https://www.oulu.fi/university/apply/scholarships,January,January (annual),https://www.oulu.fi,23-Aug-2025,Scholarships cover tuition fees only.,
FIN-005,Finnish Government Scholarship Pool,For doctoral level studies and research at Finnish universities.,"PhD, Research",Various Finnish Universities,Finland,All Disciplines,Partial,"Monthly allowance (1500 EUR), travel allowance","Academic excellence, research proposal, admission to Finnish university",https://www.oph.fi/en/education-system/financial-aid-students/financial-aid-doctoral-students,February,February (annual),https://www.oph.fi,23-Aug-2025,For doctoral students and researchers only.,
FIN-006,LUT University Scholarship Programme,For non-EU/EEA students pursuing Master's degrees at LUT University.,Master,LUT University,Finland,"Technology, Business",Partial,50% or 100% tuition fee waiver,"Academic excellence, non-EU/EEA nationality, admission to LUT",https://www.lut.fi/en/education/apply-lut/tuition-fees-and-scholarships,January,January (annual),https://www.lut.fi,23-Aug-2025,Awarded based on academic merit and program applicability.,
FIN-007,Åbo Akademi University Scholarship,For students liable to pay tuition fees in Master's programmes.,Master,Åbo Akademi University,Finland,All Disciplines,Partial,Full or partial tuition fee waiver,"Academic merit, non-EU/EEA nationality, admission to Åbo Akademi",https://www.abo.fi/en/study-apply/tuition-fees-scholarships/,January,January (annual),https://www.abo.fi,23-Aug-2025,Scholarships are merit-based and highly competitive.,
FIN-008,University of Eastern Finland Scholarship,For international students required to pay tuition fees in Master's programmes.,Master,University of Eastern Finland,Finland,All Disciplines,Partial,70% - 100% tuition fee waiver,"Academic excellence, non-EU/EEA nationality, admission to UEF",https://www.uef.fi/en/apply/student-finance,January,January (annual),https://www.uef.fi,23-Aug-2025,Early-bird discount also available for tuition fees.,
FIN-009,Hanken School of Economics Scholarship,For fee-paying students in Master's programmes at Hanken.,Master,Hanken School of Economics,Finland,"Business, Economics",Partial,Tuition fee waiver (amount varies),"Academic merit, non-EU/EEA nationality, admission to Hanken",https://hanken.fi/en/education/degree-studies/tuition-fees-and-scholarships,January,January (annual),https://hanken.fi,23-Aug-2025,Focus on students with strong academic and professional potential.,
FIN-010,SAMK Scholarships,For non-EU/EEA students in Bachelor's and Master's degrees.,"Bachelor, Master",Satakunta University of Applied Sciences,Finland,All Disciplines,Partial,50% tuition fee waiver,"Good academic progress, non-EU/EEA nationality, admission to SAMK",https://www.samk.fi/en/study-at-samk/tuition-fees-and-scholarships/,Varies,Varies,https://www.samk.fi,23-Aug-2025,Scholarship requires maintaining good academic standing.,
DEN-001,Danish Government Scholarships,Offered by the Danish Ministry of Higher Education to highly qualified non-EU/EEA students.,Master,Participating Danish Universities,Denmark,All Disciplines,Partial,"Full or partial tuition fee waivers, sometimes plus grants","Academic excellence, non-EU/EEA nationality",https://studyindenmark.dk/study-options/tuition-fees-scholarships,Varies by University,Varies by University (Typically Jan-Mar),https://studyindenmark.dk,23-Aug-2025,Administered by individual universities; check specific institution deadlines.,
DEN-002,University of Copenhagen Scholarships,For non-EU/EEA students pursuing Master's degrees at Denmark's oldest university.,Master,University of Copenhagen,Denmark,All Disciplines,Partial,Tuition fee waiver (partial or full),"Academic excellence, non-EU/EEA nationality, admission to UCPH",https://studies.ku.dk/masters/scholarships-and-funding/,December,January (annual),https://www.ku.dk,23-Aug-2025,Highly competitive; based on academic merit.,
DEN-003,Aarhus University Scholarships,For talented non-EU/EEA students applying for Master's degrees.,Master,Aarhus University,Denmark,All Disciplines,Partial,Tuition fee waiver (typically 25-50% reduction),"Academic excellence, non-EU/EEA nationality, admission to AU",https://international.au.dk/education/scholarships-and-grants/,January,January (annual),https://www.au.dk,23-Aug-2025,Awarded based on academic achievement and potential.,
DEN-004,DTU International Scholarships,For non-EU/EEA students in Master's programmes at Scandinavia's leading technical university.,Master,Technical University of Denmark,Denmark,"Engineering, Technology, Science",Partial,Tuition fee waiver + monthly stipend in some cases,"Academic excellence, non-EU/EEA nationality, admission to DTU",https://www.dtu.dk/english/education/graduate/scholarships-and-funding,January,January (annual),https://www.dtu.dk,23-Aug-2025,Some programs offer full funding through specific scholarships.,
DEN-005,Aalborg University Scholarships,For non-EU/EEA students in Master's programmes at AAU.,Master,Aalborg University,Denmark,All Disciplines,Partial,Tuition fee waiver (partial reduction),"Academic excellence, non-EU/EEA nationality, admission to AAU",https://www.aau.dk/education/scholarships-and-grants,January,January (annual),https://www.aau.dk,23-Aug-2025,Limited number of scholarships available across faculties.,
DEN-006,Copenhagen Business School Scholarships,For non-EU/EEA students in Master's programmes at one of Europe's top business schools.,Master,Copenhagen Business School,Denmark,"Business, Economics, Management",Partial,Tuition fee waiver (partial or full),"Academic excellence, non-EU/EEA nationality, admission to CBS",https://www.cbs.dk/en/study/graduate/tuition-fees-and-scholarships,January,January (annual),https://www.cbs.dk,23-Aug-2025,Highly competitive; focus on academic and professional potential.,
DEN-007,IT University of Copenhagen Scholarships,For non-EU/EEA students in Master's programmes in IT and digital design.,Master,IT University of Copenhagen,Denmark,"Computer Science, Digital Design, Games",Partial,Tuition fee reduction (varies by program),"Academic merit, non-EU/EEA nationality, admission to ITU",https://www.itu.dk/en/study/taught-programmes/scholarships,January,January (annual),https://www.itu.dk,23-Aug-2025,Limited scholarships available for top applicants.,
DEN-008,Roskilde University Scholarships,For highly qualified non-EU/EEA students in Master's programmes.,Master,Roskilde University,Denmark,"Social Sciences, Humanities, Natural Sciences",Partial,Tuition fee waiver (partial reduction),"Academic excellence, non-EU/EEA nationality, admission to RUC",https://ruc.dk/en/study/application-and-entry/scholarships,January,January (annual),https://www.ruc.dk,23-Aug-2025,Awarded based on academic achievement and motivation.,
DEN-009,University of Southern Denmark Scholarships,For non-EU/EEA students in Master's programmes at SDU.,Master,University of Southern Denmark,Denmark,"Engineering, Science, Business, Humanities",Partial,Tuition fee waiver (partial reduction),"Academic merit, non-EU/EEA nationality, admission to SDU",https://www.sdu.dk/en/education/tuition_fees_scholarships,January,January (annual),https://www.sdu.dk,23-Aug-2025,Automatic consideration with program application.,
DEN-010,Danish State Scholarship (Aarhus University),"Specifically for non-EU/EEA students at Aarhus University, funded by the Danish state.",Master,Aarhus University,Denmark,All Disciplines,Partial,Tuition fee waiver + limited living costs support,"Academic excellence, non-EU/EEA nationality, admission to AU",https://international.au.dk/education/scholarships-and-grants/state-scholarship/,January,January (annual),https://www.au.dk,23-Aug-2025,Highly prestigious and competitive scholarship.,
NOR-001,University of Oslo Scholarships,Limited scholarships for highly qualified international Masters students.,Master,University of Oslo,Norway,All Disciplines,Partial,"NOK 50,000 - 100,000 per semester (for living expenses)","Academic excellence, admission to UiO, financial need",https://www.uio.no/english/studies/admission/scholarships/,December,December (annual),https://www.uio.no,23-Aug-2025,Most programs are tuition-free; scholarships help with living costs.,
NOR-002,NTNU Scholarships,Scholarships for international Masters students at Norway's largest university.,Master,Norwegian University of Science and Technology,Norway,"Technology, Natural Sciences, Engineering",Partial,Varies; often covers partial living expenses,"Academic merit, admission to NTNU",https://www.ntnu.edu/studies/scholarships,December,December (annual),https://www.ntnu.edu,23-Aug-2025,Focus on academic excellence in STEM fields.,
NOR-003,BI Norwegian Business School Scholarships,For international students in Masters and Bachelor programs at BI.,"Bachelor, Master",BI Norwegian Business School,Norway,"Business, Finance, Economics",Partial,Tuition reduction (from 25% to 100%),"Academic excellence, admission to BI",https://www.bi.edu/study-at-bi/tuition-and-scholarships/scholarships/,Varies,March (annual),https://www.bi.edu,23-Aug-2025,BI is a private institution and charges tuition.,
NOR-004,University of Bergen Scholarships,Limited funding for international students at the University of Bergen.,Master,University of Bergen,Norway,All Disciplines,Partial,"NOK 100,000 per year (for living expenses)","Academic excellence, admission to UiB",https://www.uib.no/en/education/125529/scholarships,January,January (annual),https://www.uib.no,23-Aug-2025,Highly competitive; most programs are tuition-free.,
NOR-005,Quota Scholarship Scheme,For students from developing countries and countries in Central/Eastern Europe.,"Master, PhD",Various Norwegian Universities,Norway,All Disciplines,Yes,"Covers living expenses, travel, etc.","Citizen of a Quota country, academic excellence",https://www.studyinnorway.no/norwegian-education/study-programs/quota-scheme,Varies,December (annual),https://www.studyinnorway.no,23-Aug-2025,Requires nomination from your home institution.,
NOR-006,OsloMet Scholarships,For students from certain partner countries pursuing Masters degrees.,Master,Oslo Metropolitan University,Norway,All Disciplines,Partial,"NOK 40,000 per semester (for living expenses)","Academic merit, admission to OsloMet",https://www.oslomet.no/en/studies/student-finance,January,January (annual),https://www.oslomet.no,23-Aug-2025,Targeted at specific partner institutions and countries.,
NOR-007,USN Scholarships,For international students in Masters programs at USN.,Master,University of South-Eastern Norway,Norway,All Disciplines,Partial,Varies; helps with living expenses,"Academic merit, admission to USN",https://www.usn.no/english/academics/programmes/scholarships/,January,January (annual),https://www.usn.no,23-Aug-2025,Most programs are tuition-free.,
NOR-008,Lånekassen (EU/EEA Students),Financial support for EU/EEA students working towards a degree in Norway.,"Bachelor, Master",Various Norwegian Universities,Norway,All Disciplines,Partial,Loans and grants for living expenses,"EU/EEA citizenship, working at least 10-19 hours/week",https://www.lanekassen.no/norsk-English/,Open all year,Open all year,https://www.lanekassen.no,23-Aug-2025,Not a scholarship but a key financial aid source for eligible students.,
NOR-009,Nord University Scholarships,For international students in Masters programs.,Master,Nord University,Norway,All Disciplines,Partial,"NOK 10,000 - 20,000 per semester (for living expenses)","Academic merit, admission to Nord University",https://www.nord.no/en/student/scholarships,January,January (annual),https://www.nord.no,23-Aug-2025,Most programs are tuition-free.,
NOR-010,UIT The Arctic University Scholarships,For international students in Masters programs in Northern Norway.,Master,UIT The Arctic University of Norway,Norway,All Disciplines,Partial,Varies; helps with living expenses,"Academic merit, admission to UIT",https://en.uit.no/education/art?p_document_id=723601,January,January (annual),https://en.uit.no,23-Aug-2025,Focus on studies related to the Arctic environment and communities.,
FRA-001,Eiffel Excellence Scholarship Programme,Prestigious French government scholarship for Masters and PhD-level studies.,"Master, PhD",Various French Institutions,France,All Disciplines,Yes,"Monthly allowance, travel, health insurance, cultural activities","Academic excellence, under 25 (Master's) or 30 (PhD), non-French nationality",https://www.campusfrance.org/en/eiffel-scholarship-programme-of-excellence,October,January (annual),https://www.campusfrance.org,23-Aug-2025,Must be nominated by a French educational institution., ENG: IELTS 6.0 | FRA: B2
FRA-002,Emile Boutmy Scholarship (Sciences Po),"For top international students at Sciences Po university, outside of the EU.","Bachelor, Master",Sciences Po,France,"Social Sciences, Political Science, Law, Business",Partial,"Tuition grant (€3,000 to €13,000 per year)","Non-EU nationality, excellent academic record, admission to Sciences Po",https://www.sciencespo.fr/students/en/fees-funding/financial-aid/emile-boutmy-scholarship,November,December (annual),https://www.sciencespo.fr,23-Aug-2025,Requires a separate application and demonstrated financial need., ENG: IELTS 6.0 | FRA: B2
FRA-003,Université Paris-Saclay Scholarships,For international students to pursue Masters degrees at the Paris-Saclay excellence initiative.,Master,Université Paris-Saclay,France,All Disciplines,Yes,"€10,000 per year + tuition fees up to €10,000","Academic excellence, admission to a Paris-Saclay Master's program",https://www.universite-paris-saclay.fr/en/admission/paris-saclay-university-scholarships-masters-degree,January,May (annual),https://www.universite-paris-saclay.fr,23-Aug-2025,One of France's top research-intensive universities., ENG: IELTS 6.0 | FRA: B2
FRA-004,INSEAD MBA Scholarships,Numerous need-based and merit-based scholarships for the INSEAD MBA program.,Master,INSEAD Business School,France,Business Administration (MBA),Partial,"Varies (€5,000 to €30,000+)","Admission to the INSEAD MBA program, varies by scholarship criteria",https://www.insead.edu/mba/financing-scholarships/scholarships,Varies,Varies by round,https://www.insead.edu,23-Aug-2025,One of the world's leading MBA programs. Many specific scholarships available., ENG: IELTS 6.0 | FRA: B2
FRA-005,HEC Paris Excellence Scholarships,Merit-based awards for outstanding students in Masters programs at HEC Paris.,Master,HEC Paris,France,"Management, Finance, Business",Partial,Tuition reduction (from 10% to 50%),"Academic excellence, admission to an HEC Paris Masters program",https://www.hec.edu/en/masters-programs/financial-assistance,Varies,Varies by program,https://www.hec.edu,23-Aug-2025,Automatically considered upon application for admission., ENG: IELTS 6.0 | FRA: B2
FRA-006,French Government Scholarships (BGF),Offered by French Embassies abroad for Masters and PhD studies.,"Master, PhD",Various French Universities,France,All Disciplines,Yes,"Monthly allowance (approx. €700-€1400), tuition, health insurance","Varies by country, academic excellence, nominated by French Embassy",https://www.campusfrance.org/en/bgf-scholarship-program,Varies,Varies by country,https://www.campusfrance.org,23-Aug-2025,Applicants must contact the French Embassy or Campus France in their home country., ENG: IELTS 6.0 | FRA: B2
FRA-007,Grenoble INP Foundation Scholarships,For international Masters students in engineering and technology at Grenoble INP.,Master,Grenoble INP,France,"Engineering, Technology",Partial,"€5,000 per semester (for living expenses)","Academic excellence, admission to a Grenoble INP Masters program",https://www.grenoble-inp.fr/en/studies/financial-aid-and-scholarships,April,June (annual),https://www.grenoble-inp.fr,23-Aug-2025,Focus on students pursuing careers in scientific research and industry., ENG: IELTS 6.0 | FRA: B2
FRA-008,ENS International Selection,Highly competitive program for exceptional students in Arts & Sciences to study at ENS.,Master,École Normale Supérieure (ENS),France,"Arts, Humanities, Sciences",Yes,"Monthly stipend of €1,000 for 3 years, accommodation","Under 26, exceptional academic record, pass the competitive exam",https://www.ens.psl.eu/en/studies/ens-international-selection,Varies,Varies,https://www.ens.psl.eu,23-Aug-2025,One of the most prestigious and selective schools in France., ENG: IELTS 6.0 | FRA: B2
FRA-009,IÉSEG School of Management Scholarships,Merit-based scholarships for international students in Masters programs.,Master,IÉSEG School of Management,France,"Business, Management, Finance",Partial,"Tuition waiver (from €500 to €5,000)","Academic excellence, admission to an IÉSEG Masters program",https://www.ieseg.fr/en/programs/masters-programs/financing-your-studies/scholarships/,Varies,Varies,https://www.ieseg.fr,23-Aug-2025,Automatically considered upon application., ENG: IELTS 6.0 | FRA: B2
FRA-010,Champagne School of Management Scholarships,For students in the Masters in Management program at this renowned business school.,Master,Champagne School of Management,France,"Business, Management",Partial,Tuition reduction (varies),"Academic and professional merit, admission to the program",https://www.champagneschool.com/scholarships,Varies,Varies,https://www.champagneschool.com,23-Aug-2025,Focus on leadership and academic potential., ENG: IELTS 6.0 | FRA: B2
ITA-001,Italian Government Scholarships,For international students to study in Italy at public Italian institutions.,"Master, PhD, AFAM",Public Italian Universities,Italy,All Disciplines,Yes,"Tuition fees, health insurance, monthly stipend (€900)","Age, academic merit, citizenship outside Italy",https://studyinitaly.esteri.it/en/call-for-procedure,February,June (annual),https://studyinitaly.esteri.it,23-Aug-2025,Requires language proficiency (Italian/English).,ENG: IELTS 6.0 | ITA:  B2
ITA-002,EDISU Piemonte Scholarships,"For students at universities in the Piedmont region, based on merit and income.","Bachelor, Master","University of Turin, Polytechnic of Turin",Italy,All Disciplines,Partial,"Tuition waiver, accommodation, meal vouchers, cash grant","Merit and family income, enrollment in a Piedmont university",https://www.edisu.piemonte.it/en,September,Varies,https://www.edisu.piemonte.it,23-Aug-2025,Must demonstrate financial need and academic merit.,ENG: IELTS 6.0 | ITA:  B2
ITA-003,Bocconi Merit Awards,For outstanding international students applying to Bocconi's Masters programs.,Master,Bocconi University,Italy,"Economics, Management, Finance",Partial,"Tuition reduction (up to €13,000 per year)","Academic excellence, admission to a Bocconi Masters program",https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/Programs/Master+of+Science/Admission+and+Financial+aid/Scholarships+and+loans/Merit+Awards/,January,Varies,https://www.unibocconi.eu,23-Aug-2025,Automatically considered upon application.,ENG: IELTS 6.0 | ITA:  B2
ITA-004,Politecnico di Milano Merit Scholarships,"For top international students in Engineering, Architecture, and Design.","Bachelor, Master",Politecnico di Milano,Italy,"Engineering, Architecture, Design",Partial,"Tuition waiver + €6,000 - €10,000 per year","Academic excellence, admission to PoliMi",https://www.polinternational.polimi.it/how-to-apply/scholarships/,Varies,Varies,https://www.polimi.it,23-Aug-2025,"Highly competitive, based on academic ranking.",ENG: IELTS 6.0 | ITA:  B2
ITA-005,University of Bologna Study Grants,For international students wishing to study at the world's oldest university.,"Bachelor, Master",University of Bologna,Italy,All Disciplines,Partial,"Tuition waiver + €11,000 grant","Academic merit, family income, under 30 years old",https://www.unibo.it/en/services-and-opportunities/study-grants-and-subsidies/international-students,January,March (annual),https://www.unibo.it,23-Aug-2025,Must apply for degree programs first.,ENG: IELTS 6.0 | ITA:  B2
ITA-006,Scuola Normale Superiore PhD Scholarships,Fully-funded PhD positions at one of Italy's most prestigious universities.,PhD,Scuola Normale Superiore,Italy,"Humanities, Sciences, Political-Social Sciences",Yes,"Full tuition, accommodation, monthly stipend (€16,000+ per year)","Outstanding academic record, pass the competitive exam",https://www.sns.it/en/phd-admission,Varies,Varies,https://www.sns.it,23-Aug-2025,Extremely selective. Covers all costs for 3-4 years.,ENG: IELTS 6.0 | ITA:  B2
ITA-007,Iuav University of Venice Scholarships,"For students in Architecture, Design, Planning, and Arts.","Bachelor, Master",Iuav University of Venice,Italy,"Architecture, Design, Urban Planning, Arts",Partial,Tuition fee exemptions and discounts,"Merit-based, financial need",https://www.iuav.it/ENGLISH-VE/study-at-/financial-aid/index.htm,Varies,Varies,https://www.iuav.it,23-Aug-2025,Focus on design and architecture fields.,ENG: IELTS 6.0 | ITA:  B2
ITA-008,Cattolica International Scholarship,For international students enrolling in Bachelor's and Master's degrees.,"Bachelor, Master",Università Cattolica del Sacro Cuore,Italy,All Disciplines,Partial,15% to 40% tuition reduction,"Academic merit, admission to Cattolica",https://international.unicatt.it/ucscinternational-admissions-and-tuition-fees,Varies,Varies,https://www.unicatt.it,23-Aug-2025,Automatically awarded based on application assessment.,ENG: IELTS 6.0 | ITA:  B2
ITA-009,Sant'Anna School PhD Grants,Fully-funded PhD positions in Applied Sciences and Social Sciences.,PhD,Sant'Anna School of Advanced Studies,Italy,"Sciences, Economics, Management, Law, Political Sciences",Yes,"Full tuition, accommodation, monthly stipend (€16,000+ per year)","Excellent academic record, pass the competitive exam",https://www.santannapisa.it/en/phd-admission,Varies,Varies,https://www.santannapisa.it,23-Aug-2025,Highly prestigious and research-oriented.,ENG: IELTS 6.0 | ITA:  B2
ITA-010,Accademia di Belle Arti di Firenze Scholarships,"For international students in Fine Arts, Design, and Restoration.","Bachelor, Master",Accademia di Belle Arti di Firenze,Italy,"Fine Arts, Design, Restoration",Partial,Tuition fee reductions and waivers,"Portfolio, academic merit, financial need",https://www.accademia.firenze.it/en/,Varies,Varies,https://www.accademia.firenze.it,23-Aug-2025,Focus on artistic talent and portfolio quality.,ENG: IELTS 6.0 | ITA:  B2
ESP-001,MAEC-AECID Scholarships,"For international students from select countries to study, research, or intern in Spain.","Master, PhD, Research",Various Spanish Institutions,Spain,All Disciplines,Yes,"Monthly stipend, tuition, travel, health insurance","Citizenship of eligible country, academic merit",https://www.aecid.gob.es/en,Varies,Varies by program,https://www.aecid.gob.es,23-Aug-2025,Administered by the Spanish Agency for International Development.,ENG: IELTS 6.0 | SPA: B2.
ESP-002,UC3M Scholarships for International Students,For outstanding non-EU students in Bachelor's and Master's programs.,"Bachelor, Master",Universidad Carlos III de Madrid,Spain,All Disciplines,Partial,Tuition waiver (from 10% to 100%),"Academic excellence, non-EU nationality, admission to UC3M",https://www.uc3m.es/ss/Satellite/SecretariaVirtual/en/TextoMixta/1371219067842/,Varies,Varies,https://www.uc3m.es,23-Aug-2025,Automatic consideration upon admission application.,ENG: IELTS 6.0 | SPA: B2.
ESP-003,IE University Scholarships,Merit and need-based scholarships for international students at IE University.,"Bachelor, Master",IE University,Spain,"Business, Law, International Relations, STEM",Partial,Up to 70% of tuition fees,"Academic excellence, leadership, personal achievement",https://www.ie.edu/financial-aid/,Varies,Varies,https://www.ie.edu,23-Aug-2025,Requires separate scholarship application.,ENG: IELTS 6.0 | SPA: B2
